1,2000-09-20,88.0,1
10,2000-05-22,93.99,1
14,2000-12-16,90.74,1
17,2000-10-13,86.81,1
24,2000-06-20,93.5,1
37,2000-04-17,93.5,1
49,2000-01-08,85.55,1
55,2000-11-18,98.83,1
75,2000-09-10,87.75,1
76,2000-04-20,87.41,1
82,2000-08-11,89.46,1
110,2000-04-23,88.16,1
123,2000-04-09,88.85,1
130,2000-10-28,91.27,1
139,2000-09-05,94.48,1
143,2000-06-13,89.12,1
144,2000-02-08,85.26,1
149,2000-04-06,95.53,1
152,2000-03-28,87.65,1
155,2000-09-22,97.37,1
162,2000-04-15,91.73,1
163,2000-09-20,85.21,1
164,2000-02-05,93.44,1
170,2000-02-18,94.05,1
173,2000-03-08,88.11,1
178,2000-11-04,95.21,1
181,2000-04-03,96.68,1
194,2000-04-18,97.24,1
195,2000-12-19,92.36,1
201,2000-03-10,91.52,1
204,2000-03-22,89.22,1
208,2000-12-24,95.78,1
215,2000-09-05,98.08,1
224,2000-06-28,99.99,1
226,2000-07-18,86.37,1
232,2000-01-04,98.81,1
236,2000-09-28,86.47,1
237,2000-02-03,85.97,1
243,2000-08-23,93.22,1
244,2000-09-23,85.02,1
246,2000-08-17,85.47,1
252,2000-06-03,86.1,1
262,2000-01-02,88.61,1
275,2000-06-25,94.45,1
278,2000-07-27,98.96,1
285,2000-08-31,94.76,1
291,2000-02-23,90.34,1
298,2000-08-12,89.66,1
304,2000-04-25,91.68,1
317,2000-06-10,95.6,1
319,2000-08-18,95.75,1
321,2000-05-11,97.36,1
336,2000-07-19,93.3,1
339,2000-06-20,94.96,1
342,2000-04-01,88.98,1
357,2000-05-16,94.73,1
361,2000-06-21,96.33,1
375,2000-06-01,97.57,1
379,2000-10-20,94.68,1
385,2000-11-24,85.81,1
391,2000-07-16,91.23,1
392,2000-12-07,94.55,1
402,2000-05-04,93.54,1
405,2000-04-15,99.03,1
415,2000-01-04,87.57,1
422,2000-12-21,88.7,1
423,2000-07-06,90.58,1
426,2000-04-11,92.29,1
439,2000-01-09,99.17,1
442,2000-05-22,95.37,1
447,2000-12-29,97.96,1
452,2000-10-22,89.64,1
458,2000-04-16,87.15,1
469,2000-07-30,89.32,1
470,2000-09-22,95.98,1
488,2000-04-13,90.03,1
491,2000-11-14,95.35,1
492,2000-02-23,87.19,1
493,2000-12-01,98.47,1
